tick,wind,sun,s1,s3,s4,s5,s6,s7,s8,s9,sA,sB,sC,sD,sE,sF,sG,sH,sI,sJ,sK,sL,sM,sN,sO,sP,a1,a2,a3,a4,a5,a6,a7,a8,a9,aA,aB,aC,aD,aE,aF,aG
43,9.873048921767232,4.969291021579492,0.7470703125,2.1826171875,2.1826171875,1.318359375,2.40234375,2.490234375,2.8857421875,2.3291015625,1.5673828125,1.81640625,2.490234375,2.7685546875,2.490234375,1.8017578125,2.05078125,2.578125,2.9736328125,2.40234375,1.5673828125,1.611328125,2.87109375,2.9443359375,2.6220703125,1.6845703125,0.23621082719829353,0.7076142355799675,0.31774915340873944,2.6207934651109915e-2,0.0,4.791654646396637e-3,6.46751787927416e-2,5.5092904302808995e-3,1.1175870895385742e-4,8.0843973490927e-3,5.174014303419326e-4,4.139211442735461e-6,0.0,0.0,5.174014303419326e-4,3.3113691541883687e-5
44,11.155807942674945,4.083365115561797,0.0,1.1279296875,1.1865234375,0.439453125,1.4208984375,1.435546875,1.81640625,1.318359375,0.615234375,0.9375,1.552734375,1.7578125,1.494140625,0.9375,1.11328125,1.5673828125,1.9189453125,1.3916015625,0.6884765625,0.7470703125,1.875,1.875,1.5673828125,0.7470703125,0.6162333819601272,1.7813877719971873,0.7665529847145081,0.21827872842550278,5.174014303419326e-4,6.295223202970294e-3,0.12331124809053211,3.0691735446453094e-2,1.4197495248582633e-3,2.4139881134033203e-2,3.5488564107153155e-3,5.174014303419326e-4,0.0,6.467517879274157e-5,3.0174851417541504e-3,3.771856427192688e-4
45,10.906105286275876,2.326050967303284,0.0,5.859375e-2,0.1171875,0.0,0.4541015625,0.4248046875,0.7470703125,0.3076171875,0.0,0.1171875,0.498046875,0.6884765625,0.4248046875,0.0,0.17578125,0.556640625,0.8642578125,0.3076171875,0.0,0.0,0.8056640625,0.7470703125,0.556640625,0.0,2.0407926705148496,5.070712003442977,3.170887939631939,0.48697408702638423,1.3969838619232178e-2,0.10626338836219579,0.3407103940844536,0.2649095323350695,2.4139881134033203e-2,9.581912308931351e-2,1.3969838619232178e-2,1.859385520219803e-2,5.174014303419326e-7,3.0174851417541504e-3,2.6207934651109915e-2,3.0174851417541504e-3
46,10.776591936884028,1.5491980628552269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.96747260209587,12.103911075327133,4.656049940321181,1.1900067329406738,5.036178562376235e-2,0.44360705133941447,0.7869029003712869,0.9166081953379845,0.11744029406044221,0.2852785918447708,4.71482053399086e-2,0.10626338836219579,6.467517879274157e-5,3.8333237171173096e-2,0.11175870895385742,2.033594581815932e-2
47,9.997229578222491,-4.102936176617805e-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.584759120312003,11.480124149885444,8.181798685755997,0.5174014303419328,3.0691735446453094e-2,0.8940696716308594,0.8286768570542336,1.2172577488753535,9.581912308931351e-2,0.48697408702638423,6.087176087829803e-2,0.11175870895385742,2.649095323350695e-4,7.70291727450159e-2,0.20966347720887932,2.8390851285722524e-2
48,11.569853742090894,-0.19671731304241902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.077433194551204,9.412280697789459,8.579227142035961,0.6338390004303721,2.6207934651109915e-2,0.9864899847242569,0.5490705370903015,0.8719036769535807,0.11744029406044221,0.3290962841775683,0.14875084161758423,0.10626338836219579,3.3113691541883687e-5,4.71482053399086e-2,0.10626338836219579,4.113703552219604e-2
49,11.20229098533407,0.4234296739077955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4379627969529905,9.848303161561489,7.987772114574909,0.3407103940844536,2.4139881134033203e-2,0.9628152474761009,0.6338390004303721,0.6338390004303721,0.18518366333511146,0.2649095323350695,0.18518366333511146,9.086396959092885e-2,5.174014303419326e-7,4.113703552219604e-2,0.10095122787687515,5.036178562376235e-2
50,11.66379069178551,-0.11504178785413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.139211442735462,15.0,7.152557373046875,0.8286768570542336,0.10626338836219579,0.7665529847145081,0.9166081953379845,0.44360705133941447,0.27496833354234695,0.36475196894672185,0.20127795222732758,0.17746869060728288,0.0,6.087176087829803e-2,0.14875084161758423,7.70291727450159e-2
51,12.501795493328864,-0.4934362632429925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.893525667488575,15.0,6.295223202970295,1.2449216511514454,0.14875084161758423,0.7665529847145081,1.136730942461226,0.6162333819601272,0.23621082719829353,0.4161754623055458,0.2271268102857802,0.18518366333511146,0.0,9.086396959092885e-2,0.20127795222732758,7.70291727450159e-2
52,12.536355103444665,0.45630684745039585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.478690352704792,11.977390386164188,5.434504710137844,1.0349974036216736,0.21827872842550278,1.2730015441775322,0.9395223524835377,0.5174014303419328,0.17746869060728288,0.36475196894672185,0.20127795222732758,0.2649095323350695,2.649095323350695e-4,0.10626338836219579,0.20966347720887932,7.70291727450159e-2
53,12.608271725198573,0.48408142669058696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.480124149885444,15.0,8.378942083153461,1.5773629355761742,0.14875084161758423,1.8170144822862415,1.3304217201140194,0.6162333819601272,0.20966347720887932,0.7869029003712869,0.2271268102857802,0.3771856427192688,2.541993227269915e-3,0.16268756654527455,0.3290962841775683,7.70291727450159e-2
54,11.641279793900358,-0.40736247114842894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.279979228973389,15.0,11.116344895627766,2.079787664115429,0.10095122787687515,2.079787664115429,1.6773078176710345,0.20127795222732758,0.3290962841775683,1.1900067329406738,0.2271268102857802,0.4028942849900988,4.1392114427354606e-3,0.1293746754527092,0.3290962841775683,7.275078031751846e-2
55,11.987736071866902,-0.19999134240554017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.603124439716339,15.0,10.643373760912155,2.079787664115429,7.275078031751846e-2,1.6435375437140465,1.2172577488753535,0.6162333819601272,0.2852785918447708,0.8076098230150012,0.4028942849900988,0.35259458753797757,4.1392114427354606e-3,0.1293746754527092,0.23621082719829353,8.147209882736206e-2
56,12.101494346168606,-5.231076318906136e-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.305323991510605,12.74989452213049,11.977390386164188,1.7115375440981655,4.113703552219604e-2,1.2449216511514454,1.3015005323621964,1.2730015441775322,0.30666589736938477,0.6162333819601272,0.23621082719829353,0.21827872842550278,2.541993227269915e-3,0.11175870895385742,0.30666589736938477,9.581912308931351e-2
57,12.42453926263978,-0.4293489437525536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.643373760912155,14.536115858289932,15.0,2.079787664115429,4.113703552219604e-2,1.059836294088099,1.6102236178186207,1.419749524858263,0.30666589736938477,0.7269117567274308,0.20966347720887932,0.20127795222732758,2.119276258680556e-3,0.1699710264801979,0.4161754623055458,0.10626338836219579
